"ID","NAME","VIEWS","CLICKS","REVENUE"
"43506","Armadillididae lion-toothed","193835","17674","2132.19"
"47340","gpad Quent","100004","6533","1100.04"
"29692","g hepatise","66269","8776","463.88"
"20487","comprehender Khalk","129723","14092","3502.52"
"37358","gharri Feme","47351","4391","236.76"
"3607","Cram JHS","27635","2777","1160.67"
"6674","infrathoracic cisele","29181","4096","525.26"
"45024","sarpler lipometabolic","36321","2804","36.32"
"48857","barlows uncircumstanced","96957","8442","4169.15"
"12038","transformation keratoncus","11802","1384","354.06"
"31980","mohammedan coalbag","69327","9370","1109.23"
"42718","humouring soundhearted","70818","1901","2195.36"
"5900","nondeodorant nonquality","59120","4068","1478"
"9731","quasi-objective McLeod","129691","14664","4928.26"
"4361","newtonian feigns","226976","10522","3177.66"
"5124","Torp pleximeter","42116","513","336.93"
"35030","cycloserine dithioglycol","79170","6203","3641.82"
"2044","godwit heart-rendingly","173810","7557","1390.48"
"3576","geometrise cymosely","63079","6781","2397"
"8174","antipoles nonmucous","136436","8143","4775.26"
"18909","phthalanilic Foosland","197586","15591","1185.52"
"10471","apheretic gnarl","232383","17391","9295.32"
"24273","Ahouh rebranched","169160","17709","1353.28"
"24266","subramose restful","105554","11341","316.66"
"35003","proattendance neurilemmatous","136277","11989","3134.37"
"11222","phosphocreatine lynching","69671","6660","696.71"
"14289","cockalan unprescient","198897","16597","0"
"34998","gallantize empty-handedness","80354","6245","3535.58"
"3547","Silsbee uneffaced","206007","10674","206.01"
"44197","universalism lateraled","228651","16085","685.95"
"8147","effervescency chloroaurite","185703","19274","5571.09"
"10448","wholeness pufferies","179709","13543","8086.9"
"1239","Riparii holographs","159670","15537","3672.41"
"45725","Pro-ally Gc","220878","16254","4638.44"
"48026","berengena Florida","43818","3131","306.73"
"21178","vambraced gypsy","48069","2382","721.03"
"21168","preset stomper","56957","14410","512.61"
"3519","twill-woven Thaddeus","283816","14925","9933.56"
"3516","anoxias mineraloid","33774","4889","1182.09"
"11176","Lashond haphazardness","51126","5340","715.76"
"19611","peatmen jicara","93909","10061","3756.36"
"19609","cannonaded great-sized","217051","19047","5426.27"
"28811","warmthlessness shaggy-maned","105387","6938","5058.58"
"28042","well-wish subexcitation","93136","8484","931.36"
"18067","stradlings gyrators","195367","25200","976.84"
"19597","crushing nonmischievous","87285","13394","1832.98"
"10387","unhastiness deranges","83973","9823","3358.92"
"8079","tub-thumper imbibitory","45002","7015","360.02"
"14215","unchangingness serpulidan","94228","12876","2355.7"
"42590","windowwards democrat","49095","6977","1472.85"
"42586","polygynia disjected","27416","92","877.31"
"24177","daikon disobedient","76923","7165","307.69"
"16500","scavenage Palaeonemertinea","76362","15726","1374.52"
"28003","unhealed seminormality","86805","418","3211.78"
"4992","Oreophasinae Statesboro","163535","22594","5233.12"
"39505","kamarupic humanitarians","69416","9395","2776.64"
"6523","inject presubiculum","117218","10699","3633.76"
"47172","styline dyed","52852","3802","52.85"
"47938","sea-louse polysporic","224370","21329","10096.65"
"35657","Raphine -ean","93976","10056","4510.85"
"39489","Trueblood, otosteon","104879","12957","3251.25"
"49460","multispindled antigonococcic","5427","2985","255.07"
"4206","histodialysis dacryocystocele","194187","19324","776.75"
"13407","transactinide confidants","112910","10821","903.28"
"32582","grey-headed wide-necked","97920","10285","3720.96"
"9564","peridromos heterostrophous","51124","9011","971.36"
"8023","back-paint brushable","198279","16784","4362.14"
"46373","unadmirably triangularity","203585","16170","3460.95"
"5721","doughy Hermansville","147345","14502","5451.77"
"13387","Readfield laminiferous","46996","1528","0"
"49435","re-edificate graduate","5842","2771","128.52"
"14153","biochemics enfeoffment","93904","15172","2253.7"
"41763","tide-tossed tight-pressed","179599","18512","1077.59"
"45594","Un-victorian sunberry","95045","7820","2566.22"
"27952","stipulate nonintoxicatingly","93589","8870","561.53"
"34854","highhandedly propargyl","179555","12534","3411.54"
"44825","equiform cannat","174282","15687","174.28"
"24882","tritonymph fuzzed","198712","18602","8345.9"
"11075","Ustinov unremarkable","159409","11911","6216.95"
"49424","urinometer Chelsea","69692","7013","3414.91"
"6470","bipartile academize","116899","8646","4442.16"
"24876","circumlitio nonvalent","236913","21818","1895.3"
"12601","preguilt scots","254396","17803","12211.01"
"34076","Buraydah Phacochoerus","172496","12827","5347.38"
"13365","czarisms plurisetose","12572","3309","213.72"
"50180","jacksonian Yeshibah","136966","10299","2602.35"
"17198","promise-crammed Azar","108631","12408","2824.41"
"11060","expositor well-practiced","141607","22253","1982.5"
"45574","self-esteem collaborations","118629","11399","3677.5"
"15654","unsanction anagnorises","64676","5957","1940.28"
"11050","Koehler gardenwards","53312","5086","1066.24"
"1073","uncarnivorous uphung","259719","17516","1038.88"
"49394","insidiation Josiah","145493","12163","6256.2"
"15645","scratchcat, foredays","111760","9743","111.76"
"47091","dowsabels spritsail","193119","18040","1931.19"
"38651","Broz Alsace","53256","6820","2343.26"
"13338","quasi-marble ombrological","38807","2737","970.17"
"27909","aeonicaeonist engrosser","158985","20319","2384.77"
"24840","venomousness grumphy","130822","14103","5102.06"
"42476","Mellman mentalism","112793","6421","2030.27"
"41708","preemergent hypocrystalline","76568","3437","0"
"47839","panchromatism antisiphonal","37950","2982","1404.15"
"29427","footlining yoke-toed","188181","12937","2446.35"
"3347","cymba densest","174907","9846","3847.95"
"35560","presurprise stakes","129689","9812","2593.78"
"24818","auriculoid salpacean","71295","11521","3493.46"
"37855","tabors Trey","104648","12589","2511.55"
"20210","splanchnopathy Cavafy","47396","2126","0"
"38611","hyperaphia connectedness","93997","10267","2631.92"
"17901","decryptions skip-kennel","288056","17190","8353.62"
"46279","twingeing Adrenalin","79523","9800","3339.97"
"41675","roughwork gunsling","245669","24427","2702.36"
"7919","Dalcassian spiles","10357","1180","352.14"
"37832","chaffiest reconstructionism","193690","15250","5617.01"
"27092","nonaccession well-heeled","53564","2911","1606.92"
"2547","frillier Porteno","64244","5533","1734.59"
"21721","quieters denseness","3472","1642","24.3"
"49328","holloos serotypes","173948","12172","8001.61"
"25549","pyreticosis periosteophyte","260405","22192","8593.37"
"12505","Cram wamefuls","176330","18315","5995.22"
"48544","musiciana blooddrops","179902","22140","7196.08"
"15560","Durarte Liebman","161242","10925","4837.26"
"6353","kind pre-excite","90090","10687","2522.52"
"42402","lady's-slipper recriminate","100870","5970","1513.05"
"30895","beaux-esprits unconcluding","21178","4238","889.48"
"47765","decimalism basialveolar","4502","3017","76.53"
"10946","unassessableness switching","123727","6354","3093.18"
"28586","loaf-sugar nonmonarchic","197358","18822","394.72"
"11710","loggin cecidiologist","190689","14076","6674.12"
"2502","sarlak movably","109568","14536","3287.04"
"17841","overbrilliance checkhook","29217","8538","1022.59"
"41618","rebrew mesocephaly","28124","2500","731.22"
"46987","heteroscope tallyho'd","142118","12847","4832.01"
"28575","Tibesti bannisters","51453","4260","720.34"
"14001","sailor's-choice Noctuidae","46125","4873","2260.13"
"4792","palatize roughie","85472","8314","2136.8"
"7859","Figl esq","44779","1994","537.35"
"5556","Calite sunberry","89835","7737","2156.04"
"9391","prim-mannered vamped","40543","3689","527.06"
"5552","scrappers flued","43721","3435","2054.89"
"25490","thistlewarp elicitors","243235","23398","2189.11"
"50029","nonmeteorological pensils","99205","7703","3472.18"
"938","black-lipped IEC","18455","1777","848.93"
"46955","Brinklow overimpressed","159874","14450","1598.74"
"48488","emoluments self-poisoner","31161","4698","529.74"
"31613","candystick hand-rub","166591","14013","6330.46"
"34680","Hawkins deutomalal","51317","5556","2104"
"20106","intimacies refresco","100013","8082","3100.4"
"41580","Pahari melancholic","47707","3652","2146.81"
"9364","self-effacement disgorger","205755","16260","411.51"
"37738","cerule polysensuous","151536","14254","1363.82"
"16261","homoeopathicity UDT","199683","19086","2795.56"
"29298","cucaracha albacore","24378","1443","292.54"
"43103","tetrevangelium condescendingness","83170","11358","914.87"
"14722","ideologize take","59904","6449","1257.98"
"50003","nonvulcanizable unballoted","52784","7343","686.19"
"23924","Tamoyo Thurstan","187339","13310","9179.61"
"45400","Bountiful Seelyville","128926","8741","5028.11"
"25457","irradicably katabothron","118678","16284","2254.88"
"39262","unstammeringly conceives","84835","5371","3308.56"
"49233","Maurertown Ammishaddai","156477","14453","2503.63"
"36960","Neo-persian corporas","190800","11477","1144.8"
"48465","preheroic reperceiving","125805","18052","6164.44"
"22386","mitogen cholecystokinin","133788","7821","5217.73"
"37723","blacklisted ethylsulphuric","51351","3170","51.35"
"5503","telemetry convert","144981","8414","4349.43"
"17773","spicknel uncriticized","139575","10751","5862.15"
"3196","hypozoan R/D","75314","3753","1205.02"
"21602","multicoil placentiferous","183018","26203","732.07"
"43076","spikewise sarcomas","51314","5014","974.97"
"4721","sportswomanly seriately","98036","7105","3431.26"
"20061","fauntleroy ileosigmoidostomy","71585","4916","2004.38"
"38466","self-focussed mutage","245642","18890","10808.25"
"13916","Shuswap quasi-sanguinely","48296","5724","0"
"14683","Goya dishcloth","93716","5727","937.16"
"23117","semihot windburned","77531","4434","1628.15"
"36152","trinkermen physalia","8308","5107","41.54"
"30775","self-existing Coroado","202946","17986","5682.49"
"8529","unexact meowed","50593","6035","101.19"
"30771","Sev love-laden","102489","7307","1537.33"
"26167","prelatist K-series","37583","857","1803.98"
"13125","zemindary, eichwaldite","180112","11844","5943.7"
"37668","overcompensations Marmet","13526","333","446.36"
"46872","resurged partnership","24889","2970","0"
"2384","bait impairment","78155","7552","0"
"16955","bugloss crumped","72348","9407","1374.61"
"36129","polytypism Cila","147025","8586","4263.73"
"36125","dodecaphonist godlessly","60840","9455","365.04"
"45329","copperah mysticize","140205","19588","3925.74"
"47628","voled tear-creating","44364","86","443.64"
"12345","cothurn orchiocatabasis","277020","11576","13019.94"
"17711","Blechnum schoenanth","10560","1789","21.12"
"4671","Creation Kepler","187194","13419","8423.73"
"16942","phenotypically Bache","84674","7391","1693.48"
"44554","misidentification undevastatingly","134475","11076","4168.73"
"44552","Muhammedan heartsore","35127","3396","70.25"
"34576","Jesuitise Mocambique","61826","9809","2905.82"
"23834","probrick stop","151338","5954","3632.11"
"31501","Marxist oil-hardening","253842","18444","7107.58"
"29966","semidomes hoboing","50915","7462","407.32"
"34566","maxillipede Anatolia","122397","4782","5630.26"
"10787","predigestion spaeings","132598","7952","397.79"
"16156","Aushar excavates","89245","5428","3302.06"
"42232","dauphins sals","155051","19083","3256.07"
"38393","Machilis discommoding","73679","10694","1399.9"
"47597","Pro-gothic luckless","154253","6809","0"
"29185","decempartite bookshelf","197978","21618","2177.76"
"10776","mailability Mesore","3538","3069","3.54"
"25346","tarkashi pother","24895","2967","448.11"
"47589","heyduck sanctionableness","108741","14854","1739.86"
"3101","bibliophil lucullan","240822","16076","6020.55"
"27642","atrocity oversure","86555","10708","2336.99"
"39914","open-air honorific","134624","14296","1750.11"
"18437","unpassively bartlett","230667","22803","1845.34"
"10762","scientize antilift","137186","14478","2194.98"
"32237","eyrar sluthood","135340","10792","6360.98"
"28400","strontianiferous gorbal","118286","11006","1064.57"
"8446","unindicatively Mcfd","192924","14641","9453.28"
"31456","Ahira overregular","202342","21686","4249.18"
"10743","narcissi OV","34425","2906","34.42"
"9205","fecundation trudge","195659","21275","4108.84"
